shape_dist_traveled,shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
0.0,SHP_C_0,43.15978628872844,2.96801741400202,1
0.1,SHP_C_0,43.159207151792636,2.968940093903143,2
0.13,SHP_C_0,43.1590193224184,2.969176128296453,3
0.2,SHP_C_0,43.158784534888625,2.968435838608343,4
0.28,SHP_C_0,43.15858105163305,2.967438056854803,5
0.35000000000000003,SHP_C_0,43.15833060977282,2.966676309494574,6
0.39,SHP_C_0,43.15812712500558,2.966290071396429,7
0.43,SHP_C_0,43.157861028518255,2.965882375626165,8
0.47,SHP_C_0,43.15754014591874,2.965667798904974,9
0.51,SHP_C_0,43.157156649869954,2.965710714249212,10
0.55,SHP_C_0,43.15685141660074,2.965989663986761,11
0.6000000000000001,SHP_C_0,43.15649922247246,2.966322257904608,12
0.6700000000000002,SHP_C_0,43.1559435342754,2.966708496002752,13
0.7000000000000002,SHP_C_0,43.15574004155889,2.966858699707586,14
0.7100000000000002,SHP_C_0,43.15566960161453,2.96677286901911,15
0.7200000000000002,SHP_C_0,43.15558350823893,2.966826513199408,16
0.7300000000000002,SHP_C_0,43.15555220152682,2.966987445740301,17
0.7600000000000002,SHP_C_0,43.15530174725255,2.967159107117254,18
0.8300000000000003,SHP_C_0,43.15473039459757,2.96752388754328,19
0.9100000000000003,SHP_C_0,43.15407294109692,2.968028142838079,20
0.9600000000000003,SHP_C_0,43.15373638478211,2.968435838608343,21
1.0300000000000002,SHP_C_0,43.153376345742195,2.969208314804632,22
1.0900000000000003,SHP_C_0,43.15318849844457,2.969894960312445,23
1.1300000000000003,SHP_C_0,43.15307892058766,2.970377757935125,24
1.1900000000000004,SHP_C_0,43.15303978559112,2.971128776459295,25
1.2400000000000004,SHP_C_0,43.15310240157354,2.97176177778681,26
1.3000000000000005,SHP_C_0,43.153227633345864,2.972523525147039,27
1.3400000000000005,SHP_C_0,43.153227633345864,2.972963407425482,28
1.3800000000000006,SHP_C_0,43.15318067146132,2.973456933884222,29
1.4400000000000006,SHP_C_0,43.15300847757588,2.974100664047796,30
1.5300000000000007,SHP_C_0,43.15267974244733,2.975152089981634,31
1.5800000000000007,SHP_C_0,43.15250754715046,2.975720718292791,32
1.7100000000000009,SHP_C_0,43.15264060719518,2.977330043701727,33
1.760000000000001,SHP_C_0,43.152851937258994,2.977866485504705,34
1.800000000000001,SHP_C_0,43.15318849844457,2.978145435242254,35
1.880000000000001,SHP_C_0,43.15390074972556,2.978478029160101,36
2.020000000000001,SHP_C_0,43.155090425660184,2.978960826782782,37
2.060000000000001,SHP_C_0,43.15541914782143,2.978907182602484,38
2.0900000000000007,SHP_C_0,43.155677428279034,2.978724792389471,39
2.190000000000001,SHP_C_0,43.15642095683494,2.978145435242254,40
2.230000000000001,SHP_C_0,43.15678880445961,2.977973773865301,41
2.2800000000000007,SHP_C_0,43.15726622041518,2.977920129685003,42
2.3100000000000005,SHP_C_0,43.15747753448331,2.978059604553778,43
2.3500000000000005,SHP_C_0,43.157634062951544,2.978488757996161,44
2.4200000000000004,SHP_C_0,43.15746188161446,2.979347064880926,45
2.5300000000000002,SHP_C_0,43.15718012928905,2.980613067535955,46
2.58,SHP_C_0,43.15691402867769,2.981106593994696,47
2.61,SHP_C_0,43.15667140652212,2.98125679769953,48
2.63,SHP_C_0,43.15663227382617,2.981546476273138,49
2.6599999999999997,SHP_C_0,43.15678880445961,2.981836154846746,50
2.6899999999999995,SHP_C_0,43.156867069626,2.982147291092474,51
2.7399999999999993,SHP_C_0,43.15689054915636,2.982705190567572,52
2.7999999999999994,SHP_C_0,43.157101864523646,2.983338191895086,53
2.9599999999999995,SHP_C_0,43.15764188936443,2.985151365189154,54
2.9899999999999993,SHP_C_0,43.157665368597065,2.985473230270941,55
3.0099999999999993,SHP_C_0,43.157563625190456,2.985666349320013,56
3.0299999999999994,SHP_C_0,43.15765754218721,2.985838010696966,57
3.0499999999999994,SHP_C_0,43.157845375747584,2.985859468369085,58
3.1599999999999993,SHP_C_0,43.15876105608601,2.986331537155706,59
3.369999999999999,SHP_C_0,43.1605454193711,2.987318590073187,60
3.399999999999999,SHP_C_0,43.160686287937374,2.987651183991034,61
3.479999999999999,SHP_C_0,43.16088193818504,2.988648965744574,62
3.509999999999999,SHP_C_0,43.16093672014213,2.988970830826361,63
3.529999999999999,SHP_C_0,43.16084280818564,2.989131763367254,64
3.569999999999999,SHP_C_0,43.160467158916155,2.989324882416327,65
3.639999999999999,SHP_C_0,43.159950637399454,2.989786222366888,66
3.739999999999999,SHP_C_0,43.15929324006286,2.990644529251654,67
3.8099999999999987,SHP_C_0,43.15895671249866,2.991406276611883,68
3.909999999999999,SHP_C_0,43.158635835653115,2.992543533234198,69
3.989999999999999,SHP_C_0,43.15834626241916,2.99348767080744,70
4.0299999999999985,SHP_C_0,43.15812712500558,2.993830993561346,71
4.0699999999999985,SHP_C_0,43.157829722972956,2.994142129807074,72
4.099999999999999,SHP_C_0,43.15757927803328,2.99422796049555,73
4.129999999999999,SHP_C_0,43.157485360916255,2.994517639069159,74
4.159999999999999,SHP_C_0,43.15761058370688,2.994893148331244,75
4.1899999999999995,SHP_C_0,43.15790798680608,2.994850232987005,76
4.22,SHP_C_0,43.15800190327353,2.994517639069159,77
4.239999999999999,SHP_C_0,43.158009729639296,2.99422796049555,78
4.289999999999999,SHP_C_0,43.158291478139446,2.993712976364691,79
4.379999999999999,SHP_C_0,43.158643661937695,2.992704465775091,80
4.479999999999999,SHP_C_0,43.15899584370603,2.991524293808538,81
