arrival_time,departure_time,shape_dist_traveled,stop_id,stop_sequence,timepoint,trip_id
11:00:00,11:00:00,,262,27,1,CITIBUS003006
11:02:00,11:02:00,,328,28,1,CITIBUS003006
11:02:00,11:02:00,,264,29,1,CITIBUS003006
07:31:00,07:31:00,,310,19,1,CITIBUS003001
11:05:00,11:05:00,,265,30,1,CITIBUS003006
11:06:00,11:06:00,,267,31,1,CITIBUS003006
11:08:00,11:08:00,,305,32,1,CITIBUS003006
11:10:00,11:10:00,,465,1,1,CITIBUS003007
11:10:00,11:10:00,,365,2,1,CITIBUS003007
11:11:00,11:11:00,,364,3,1,CITIBUS003007
11:12:00,11:12:00,,361,4,1,CITIBUS003007
11:14:00,11:14:00,,WID400,5,1,CITIBUS003007
11:15:00,11:15:00,,409,6,1,CITIBUS003007
11:16:00,11:16:00,,411,7,1,CITIBUS003007
07:10:00,07:10:00,,365,2,1,CITIBUS003001
07:32:00,07:32:00,,262,20,1,CITIBUS003001
11:16:00,11:16:00,,413,8,1,CITIBUS003007
11:19:00,11:19:00,,415,9,1,CITIBUS003007
11:20:00,11:20:00,,418,10,1,CITIBUS003007
11:21:00,11:21:00,,416,11,1,CITIBUS003007
11:24:00,11:24:00,,518,12,1,CITIBUS003007
11:26:00,11:26:00,,WID401,13,1,CITIBUS003007
11:27:00,11:27:00,,385,14,1,CITIBUS003007
11:28:00,11:28:00,,387,15,1,CITIBUS003007
11:29:00,11:29:00,,389,16,1,CITIBUS003007
11:30:00,11:30:00,,391,17,1,CITIBUS003007
07:34:00,07:34:00,,311,21,1,CITIBUS003001
11:31:00,11:31:00,,393,18,1,CITIBUS003007
11:31:00,11:31:00,,310,19,1,CITIBUS003007
11:32:00,11:32:00,,262,20,1,CITIBUS003007
11:34:00,11:34:00,,311,21,1,CITIBUS003007
11:35:00,11:35:00,,427,22,1,CITIBUS003007
11:36:00,11:36:00,,428,23,1,CITIBUS003007
11:36:00,11:36:00,,429,24,1,CITIBUS003007
11:37:00,11:37:00,,430,25,1,CITIBUS003007
11:37:00,11:37:00,,WID402,26,1,CITIBUS003007
11:40:00,11:40:00,,262,27,1,CITIBUS003007
07:35:00,07:35:00,,427,22,1,CITIBUS003001
11:42:00,11:42:00,,328,28,1,CITIBUS003007
11:42:00,11:42:00,,264,29,1,CITIBUS003007
11:45:00,11:45:00,,265,30,1,CITIBUS003007
11:46:00,11:46:00,,267,31,1,CITIBUS003007
11:48:00,11:48:00,,305,32,1,CITIBUS003007
11:50:00,11:50:00,,465,1,1,CITIBUS003008
11:50:00,11:50:00,,365,2,1,CITIBUS003008
11:51:00,11:51:00,,364,3,1,CITIBUS003008
11:52:00,11:52:00,,361,4,1,CITIBUS003008
11:54:00,11:54:00,,WID400,5,1,CITIBUS003008
07:36:00,07:36:00,,428,23,1,CITIBUS003001
11:55:00,11:55:00,,409,6,1,CITIBUS003008
11:56:00,11:56:00,,411,7,1,CITIBUS003008
11:56:00,11:56:00,,413,8,1,CITIBUS003008
11:59:00,11:59:00,,415,9,1,CITIBUS003008
12:00:00,12:00:00,,418,10,1,CITIBUS003008
12:01:00,12:01:00,,416,11,1,CITIBUS003008
12:04:00,12:04:00,,518,12,1,CITIBUS003008
12:06:00,12:06:00,,WID401,13,1,CITIBUS003008
12:07:00,12:07:00,,385,14,1,CITIBUS003008
12:08:00,12:08:00,,387,15,1,CITIBUS003008
07:36:00,07:36:00,,429,24,1,CITIBUS003001
12:09:00,12:09:00,,389,16,1,CITIBUS003008
12:10:00,12:10:00,,391,17,1,CITIBUS003008
12:11:00,12:11:00,,393,18,1,CITIBUS003008
12:11:00,12:11:00,,310,19,1,CITIBUS003008
12:12:00,12:12:00,,262,20,1,CITIBUS003008
12:14:00,12:14:00,,311,21,1,CITIBUS003008
12:15:00,12:15:00,,427,22,1,CITIBUS003008
12:16:00,12:16:00,,428,23,1,CITIBUS003008
12:16:00,12:16:00,,429,24,1,CITIBUS003008
12:17:00,12:17:00,,430,25,1,CITIBUS003008
07:37:00,07:37:00,,430,25,1,CITIBUS003001
12:17:00,12:17:00,,WID402,26,1,CITIBUS003008
12:20:00,12:20:00,,262,27,1,CITIBUS003008
12:22:00,12:22:00,,328,28,1,CITIBUS003008
12:22:00,12:22:00,,264,29,1,CITIBUS003008
12:25:00,12:25:00,,265,30,1,CITIBUS003008
12:26:00,12:26:00,,267,31,1,CITIBUS003008
12:28:00,12:28:00,,305,32,1,CITIBUS003008
12:30:00,12:30:00,,465,1,1,CITIBUS003009
12:30:00,12:30:00,,365,2,1,CITIBUS003009
12:31:00,12:31:00,,364,3,1,CITIBUS003009
07:37:00,07:37:00,,WID402,26,1,CITIBUS003001
12:32:00,12:32:00,,361,4,1,CITIBUS003009
12:34:00,12:34:00,,WID400,5,1,CITIBUS003009
12:35:00,12:35:00,,409,6,1,CITIBUS003009
12:36:00,12:36:00,,411,7,1,CITIBUS003009
12:36:00,12:36:00,,413,8,1,CITIBUS003009
12:39:00,12:39:00,,415,9,1,CITIBUS003009
12:40:00,12:40:00,,418,10,1,CITIBUS003009
12:41:00,12:41:00,,416,11,1,CITIBUS003009
12:44:00,12:44:00,,518,12,1,CITIBUS003009
12:46:00,12:46:00,,WID401,13,1,CITIBUS003009
07:40:00,07:40:00,,262,27,1,CITIBUS003001
12:47:00,12:47:00,,385,14,1,CITIBUS003009
12:48:00,12:48:00,,387,15,1,CITIBUS003009
12:49:00,12:49:00,,389,16,1,CITIBUS003009
12:50:00,12:50:00,,391,17,1,CITIBUS003009
12:51:00,12:51:00,,393,18,1,CITIBUS003009
12:51:00,12:51:00,,310,19,1,CITIBUS003009
12:52:00,12:52:00,,262,20,1,CITIBUS003009
12:54:00,12:54:00,,311,21,1,CITIBUS003009
12:55:00,12:55:00,,427,22,1,CITIBUS003009
12:56:00,12:56:00,,428,23,1,CITIBUS003009
07:42:00,07:42:00,,328,28,1,CITIBUS003001
12:56:00,12:56:00,,429,24,1,CITIBUS003009
12:57:00,12:57:00,,430,25,1,CITIBUS003009
12:57:00,12:57:00,,WID402,26,1,CITIBUS003009
13:00:00,13:00:00,,262,27,1,CITIBUS003009
13:02:00,13:02:00,,328,28,1,CITIBUS003009
13:02:00,13:02:00,,264,29,1,CITIBUS003009
13:05:00,13:05:00,,265,30,1,CITIBUS003009
13:06:00,13:06:00,,267,31,1,CITIBUS003009
13:08:00,13:08:00,,305,32,1,CITIBUS003009
13:10:00,13:10:00,,465,1,1,CITIBUS003010
07:42:00,07:42:00,,264,29,1,CITIBUS003001
13:10:00,13:10:00,,365,2,1,CITIBUS003010
13:11:00,13:11:00,,364,3,1,CITIBUS003010
13:12:00,13:12:00,,361,4,1,CITIBUS003010
13:14:00,13:14:00,,WID400,5,1,CITIBUS003010
13:15:00,13:15:00,,409,6,1,CITIBUS003010
13:16:00,13:16:00,,411,7,1,CITIBUS003010
13:16:00,13:16:00,,413,8,1,CITIBUS003010
13:19:00,13:19:00,,415,9,1,CITIBUS003010
13:20:00,13:20:00,,418,10,1,CITIBUS003010
13:21:00,13:21:00,,416,11,1,CITIBUS003010
07:11:00,07:11:00,,364,3,1,CITIBUS003001
07:45:00,07:45:00,,265,30,1,CITIBUS003001
13:24:00,13:24:00,,518,12,1,CITIBUS003010
13:26:00,13:26:00,,WID401,13,1,CITIBUS003010
13:27:00,13:27:00,,385,14,1,CITIBUS003010
13:28:00,13:28:00,,387,15,1,CITIBUS003010
13:29:00,13:29:00,,389,16,1,CITIBUS003010
13:30:00,13:30:00,,391,17,1,CITIBUS003010
